championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Women,Qualification,72,1917,SRESTHAPORN Thitithan,THA,90
2022 Shotgun World Championship,Trap Women,Qualification,73,1191,IERIDES Andi,CYP,90
2022 Shotgun World Championship,Trap Women,Qualification,74,1081,PECHEUR Elise,BEL,89
2022 Shotgun World Championship,Trap Women,Qualification,75,1122,BODDEZ Lindsay,CAN,82
2022 Shotgun World Championship,Trap Women,Qualification,76,1193,KOUKKOULLI Annita,CYP,76
2022 Shotgun World Championship,Trap Women,Qualification,77,1046,EXL Michaela,AUT,76
2022 Shotgun World Championship,Trap Women,Qualification,78,1178,SEDMAK Una,CRO,65
2022 Shotgun World Championship,Trap Women,Qualification,79,1039,SMITH Penny,AUS,DNF
2022 Shotgun World Championship,Trap Mixed Team,Bronze Medal Match 2,1,,MACEK Bostjan,,6()
2022 Shotgun World Championship,Trap Mixed Team,Bronze Medal Match 2,1,,MACEK Jasmina,,6()
2022 Shotgun World Championship,Trap Mixed Team,Bronze Medal Match 2,2,,YU Haicheng,,2()
2022 Shotgun World Championship,Trap Mixed Team,Bronze Medal Match 2,2,,WANG Xiaojing,,2()
2022 Shotgun World Championship,Trap Men,Qualification,1,1505,GRASSIA Giulia,ITA 2,144+4
2022 Shotgun World Championship,Trap Men,Qualification,2,1343,HALL Lucy Charlotte,GBR 2,144+2
2022 Shotgun World Championship,Trap Men,Qualification,2,1342,HALES Nathan,GBR 2,144+2
2022 Shotgun World Championship,Trap Men,Qualification,3,1158,YU Haicheng,CHN 2,144+1
2022 Shotgun World Championship,Trap Men,Qualification,4,1109,ALI Selin,BUL,143
2022 Shotgun World Championship,Trap Men,Qualification,4,1115,KIRILOV Marin,BUL,143
2022 Shotgun World Championship,Trap Men,Qualification,5,1036,SCANLAN Laetisha,AUS 1,142+4
2022 Shotgun World Championship,Trap Men,Qualification,5,1040,WILLETT James,AUS 1,142+4
2022 Shotgun World Championship,Trap Men,Qualification,6,1840,MACEK Jasmina,SLO,142+2
2022 Shotgun World Championship,Trap Men,Qualification,6,1839,MACEK Bostjan,SLO,142+2
2022 Shotgun World Championship,Trap Men,Qualification,7,1890,SPOTAKOVA Jana,SVK 2,141
2022 Shotgun World Championship,Trap Men,Qualification,7,1886,KOVACOCY Maran,SVK 2,141
2022 Shotgun World Championship,Trap Men,Qualification,8,1941,KAYA Rumeysa Pelin,TUR 2,141
2022 Shotgun World Championship,Trap Men,Qualification,8,1949,TUNCER N Tolga,TUR 2,141
2022 Shotgun World Championship,Trap Men,Qualification,9,1385,MURCHE Kathrin,GER 1,141
2022 Shotgun World Championship,Trap Men,Qualification,10,1925,LIU Wan-Yu,TPE,141
2022 Shotgun World Championship,Trap Men,Qualification,10,1926,YANG Kun-Pi,TPE,141
2022 Shotgun World Championship,Trap Men,Qualification,11,1259,GALVEZ Fatima,ESP 1,141
2022 Shotgun World Championship,Trap Men,Qualification,11,1257,FERNANDEZ Alberto,ESP 1,141
2022 Shotgun World Championship,Trap Men,Qualification,12,2001,TOZIER Rachel Leighanne,USA 1,141
2022 Shotgun World Championship,Trap Men,Qualification,12,1986,HINTON William,USA 1,141
2022 Shotgun World Championship,Trap Men,Qualification,13,1286,ANTIKAINEN Noora,FIN 1,140
2022 Shotgun World Championship,Trap Men,Qualification,13,1290,LAAKSO Jukka,FIN 1,140
2022 Shotgun World Championship,Trap Men,Qualification,14,1387,QUOOSS Katrin,GER 2,140
2022 Shotgun World Championship,Trap Men,Qualification,14,1386,PIGORSCH Paul,GER 2,140
2022 Shotgun World Championship,Trap Men,Qualification,15,1464,SINGH Shreyasi,IND 1,140
2022 Shotgun World Championship,Trap Men,Qualification,16,1315,DESERT Antonin,FRA 1,140
2022 Shotgun World Championship,Trap Men,Qualification,17,1514,ROSSI Jessica,ITA 1,140
2022 Shotgun World Championship,Trap Men,Qualification,17,1503,FERRARI Lorenzo,ITA 1,140
2022 Shotgun World Championship,Trap Men,Qualification,18,1418,SOTOABRIL Ana Waleska,GUA 1,140
2022 Shotgun World Championship,Trap Men,Qualification,18,1415,BROL CARDENAS Jean Pierre,GUA 1,140
2022 Shotgun World Championship,Trap Men,Qualification,19,1996,SKINNER Aerel Alease,USA 2,139
2022 Shotgun World Championship,Trap Men,Qualification,19,1991,MEIN Derrick Scott,USA 2,139
2022 Shotgun World Championship,Trap Men,Qualification,20,1888,REHAK STEFECEKOVA Zuzana,SVK 1,139
2022 Shotgun World Championship,Trap Men,Qualification,21,1946,SARITURK TEMIZDEMIR Safiye,TUR 1,139
2022 Shotgun World Championship,Trap Men,Qualification,21,1950,TUZUN Oguzhan,TUR 1,139
2022 Shotgun World Championship,Trap Women,Qualification,83,1415,BROL CARDENAS Jean Pierre,GUA,113
2022 Shotgun World Championship,Trap Women,Qualification,84,1649,BOUAIN Abdelmounaim,MAR,113
2022 Shotgun World Championship,Trap Women,Qualification,85,1732,WISEMAN Nicholas Mark James,NZL,112
2022 Shotgun World Championship,Trap Women,Qualification,86,1478,WARD Michael,IRL,112
2022 Shotgun World Championship,Trap Women,Qualification,87,1703,STANISIC Ivo,MNE,112
2022 Shotgun World Championship,Trap Women,Qualification,88,1813,CRISTEA Eugen-Alexandru,ROU,112
2022 Shotgun World Championship,Trap Women,Qualification,89,1413,BROL Enrique,GUA,112
2022 Shotgun World Championship,Trap Women,Qualification,90,1383,LOEW Andreas,GER,112
2022 Shotgun World Championship,Trap Women,Qualification,91,1339,COWARD-HOLLEY Matthew John,GBR,112
2022 Shotgun World Championship,Trap Women,Qualification,92,1701,MARKOVIC Jovica,MNE,112
2022 Shotgun World Championship,Trap Women,Qualification,93,1742,NADEEM Muhammad Farrukh,PAK,112
2022 Shotgun World Championship,Trap Women,Qualification,94,1817,MORAR Trofim,ROU,111
2022 Shotgun World Championship,Trap Women,Qualification,95,1428,HEGYI Norbert,HUN,1114
